iter	Passed	Remaining
0	0	580
1	1	570
2	1	578
3	2	565
4	2	570
5	3	568
6	4	576
7	4	573
8	5	570
9	5	577
10	6	570
11	6	567
12	7	561
13	7	560
14	8	556
15	9	558
16	9	558
17	10	558
18	10	555
19	11	554
20	11	552
21	12	552
22	12	551
23	13	549
24	14	549
25	14	548
26	15	550
27	15	548
28	16	550
29	17	552
30	17	553
31	18	556
32	18	555
33	19	556
34	20	556
35	20	557
36	21	556
37	21	555
38	22	554
39	23	554
40	23	554
41	24	554
42	24	555
43	25	555
44	26	556
45	26	556
46	27	557
47	28	557
48	28	556
49	29	556
50	29	555
51	30	555
52	31	554
53	31	553
54	32	552
55	32	552
56	33	551
57	33	551
58	34	552
59	35	557
60	36	556
61	36	557
62	37	555
63	38	556
64	38	557
65	39	556
66	39	555
67	40	554
68	41	555
69	41	553
70	42	553
71	42	552
72	43	552
73	44	551
74	44	551
75	45	551
76	45	550
77	46	549
78	47	549
79	47	548
80	48	547
81	48	547
82	49	546
83	50	546
84	50	546
85	51	545
86	51	544
87	52	544
88	53	543
89	53	542
90	54	542
91	54	541
92	55	539
93	55	538
94	56	538
95	57	537
96	57	536
97	58	536
98	58	536
99	59	536
100	60	535
101	60	534
102	61	533
103	61	532
104	62	532
105	63	531
106	63	531
107	64	531
108	65	531
109	65	531
110	66	530
111	66	529
112	67	529
113	67	528
114	69	532
115	69	532
116	70	531
117	71	530
118	71	530
119	72	529
120	72	528
121	73	528
122	74	527
123	74	527
124	75	526
125	75	526
126	76	525
127	77	525
128	77	524
129	78	523
130	78	522
131	79	522
132	80	521
133	80	521
134	81	521
135	81	520
136	82	519
137	83	519
138	83	519
139	84	518
140	84	517
141	85	516
142	86	516
143	86	515
144	87	514
145	87	514
146	88	513
147	89	513
148	89	513
149	90	512
150	91	515
151	92	515
152	93	515
153	93	514
154	94	513
155	94	513
156	95	512
157	96	512
158	96	511
159	97	511
160	97	510
161	98	509
162	99	509
163	99	508
164	100	507
165	100	507
166	101	506
167	102	506
168	102	505
169	103	505
170	104	504
171	104	503
172	105	502
173	105	502
174	106	502
175	107	501
176	107	501
177	108	500
178	108	499
179	109	498
180	109	497
181	110	497
182	111	496
183	111	495
184	112	495
185	113	494
186	113	494
187	114	493
188	114	492
189	115	492
190	116	491
191	116	491
192	117	490
193	117	490
194	118	489
195	119	488
196	119	488
197	120	487
198	120	486
199	121	486
200	122	485
201	122	485
202	123	484
203	124	483
204	124	483
205	125	482
206	125	482
207	126	481
208	127	480
209	127	480
210	128	479
211	128	478
212	129	478
213	130	477
214	130	477
215	131	476
216	131	476
217	132	475
218	133	474
219	133	474
220	134	473
221	134	472
222	135	471
223	135	470
224	136	470
225	137	469
226	137	469
227	138	469
228	139	468
229	139	467
230	140	466
231	140	466
232	141	465
233	142	465
234	142	464
235	143	464
236	143	463
237	144	462
238	145	462
239	145	461
240	146	460
241	146	460
242	147	459
243	148	458
244	148	458
245	149	457
246	149	457
247	150	456
248	151	455
249	151	454
250	152	454
251	152	453
252	153	452
253	154	452
254	154	451
255	155	452
256	156	452
257	156	451
258	157	450
259	158	450
260	158	449
261	159	448
262	159	448
263	160	447
264	161	446
265	161	445
266	162	445
267	162	444
268	163	443
269	163	443
270	164	442
271	165	441
272	165	441
273	166	440
274	166	440
275	167	439
276	168	439
277	168	438
278	169	437
279	170	437
280	170	436
281	171	436
282	171	435
283	172	435
284	173	434
285	173	433
286	174	433
287	174	432
288	175	431
289	176	431
290	176	430
291	177	430
292	177	429
293	178	428
294	179	428
295	179	427
296	180	426
297	180	426
298	181	425
299	182	425
300	182	424
301	183	423
302	184	423
303	184	422
304	185	422
305	185	421
306	186	420
307	186	420
308	187	419
309	188	418
310	188	418
311	189	417
312	190	417
313	190	416
314	191	415
315	191	415
316	192	414
317	193	414
318	193	413
319	194	412
320	194	412
321	195	411
322	196	411
323	196	410
324	197	410
325	198	409
326	198	408
327	199	408
328	200	409
329	201	408
330	201	407
331	202	407
332	202	406
333	203	406
334	204	405
335	204	404
336	205	404
337	206	403
338	206	403
